span1,span2,span3,span4,span5,span6,span7,span8
Mihir Jha,Mihir Jha,,@MihirkJha,·,Indian,,Railways
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,If any of you have any angst against,#IndianRailways,
Judish Raj,Judish Raj,,@JudishRaj,·,"For those born after 1990, let me tell you the biggest achievement post independence, of",Indian,
Munthaseer Yaseen,Munthaseer Yaseen,,@12ARMY,·,How BJP systematically dismantled,Indian,
Swaminathan Padmanabhan,Swaminathan Padmanabhan,,@swaminathankp,·,Indian,Indian,
Roshan Rai,Roshan Rai,,@RoshanKrRaii,·,Update : Condition of,Indian,
san⁷ /rpwp,san⁷,/rpwp,,@sueemonella,·,can some vips or someone who work in,Indian
Arjun,Arjun,,@80and_Counting,·,Indian,,Railways
Dr Gaurav Garg,Dr Gaurav Garg,,@DrGauravGarg4,·,"As a common man, doesn’t the videos of",Indian,
Saurabh • A Railfan,Saurabh • A Railfan,,@trainwalebhaiya,·,Even after 170yrs of,Indian,
Kapil,Kapil,,@kapsology,·,Everyone is talking about,Indian,
Mukul,Mukul,,@Warrior_Mukul,·,Pathetic State of,Indian,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,All is Not Well with,Indian,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,Strength of,Indian,
Anusha vundavalli,Anusha vundavalli,,@Anushavundavali,·,Worst,railway,service
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Tamil Nadu Infra,Tamil Nadu Infra,,@TamilNaduInfra,·,"Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time",Indian,
Anil Bhat,Anil Bhat,,@anilbhatortho,·,#Vandebharat,"journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the",Indian
Mihir Jha,Mihir Jha,,@MihirkJha,·,Indian,,Railways
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,If any of you have any angst against,#IndianRailways,
Judish Raj,Judish Raj,,@JudishRaj,·,"For those born after 1990, let me tell you the biggest achievement post independence, of",Indian,
Munthaseer Yaseen,Munthaseer Yaseen,,@12ARMY,·,How BJP systematically dismantled,Indian,
Swaminathan Padmanabhan,Swaminathan Padmanabhan,,@swaminathankp,·,Indian,Indian,
Roshan Rai,Roshan Rai,,@RoshanKrRaii,·,Update : Condition of,Indian,
san⁷ /rpwp,san⁷,/rpwp,,@sueemonella,·,can some vips or someone who work in,Indian
Arjun,Arjun,,@80and_Counting,·,Indian,,Railways
Dr Gaurav Garg,Dr Gaurav Garg,,@DrGauravGarg4,·,"As a common man, doesn’t the videos of",Indian,
Saurabh • A Railfan,Saurabh • A Railfan,,@trainwalebhaiya,·,Even after 170yrs of,Indian,
Kapil,Kapil,,@kapsology,·,Everyone is talking about,Indian,
Mukul,Mukul,,@Warrior_Mukul,·,Pathetic State of,Indian,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,All is Not Well with,Indian,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,Strength of,Indian,
Anusha vundavalli,Anusha vundavalli,,@Anushavundavali,·,Worst,railway,service
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Tamil Nadu Infra,Tamil Nadu Infra,,@TamilNaduInfra,·,"Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time",Indian,
Anil Bhat,Anil Bhat,,@anilbhatortho,·,#Vandebharat,"journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the",Indian
Mihir Jha,Mihir Jha,,@MihirkJha,·,Indian,,Railways
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,If any of you have any angst against,#IndianRailways,
Judish Raj,Judish Raj,,@JudishRaj,·,"For those born after 1990, let me tell you the biggest achievement post independence, of",Indian,
Munthaseer Yaseen,Munthaseer Yaseen,,@12ARMY,·,How BJP systematically dismantled,Indian,
Swaminathan Padmanabhan,Swaminathan Padmanabhan,,@swaminathankp,·,Indian,Indian,
Roshan Rai,Roshan Rai,,@RoshanKrRaii,·,Update : Condition of,Indian,
san⁷ /rpwp,san⁷,/rpwp,,@sueemonella,·,can some vips or someone who work in,Indian
Arjun,Arjun,,@80and_Counting,·,Indian,,Railways
Dr Gaurav Garg,Dr Gaurav Garg,,@DrGauravGarg4,·,"As a common man, doesn’t the videos of",Indian,
Saurabh • A Railfan,Saurabh • A Railfan,,@trainwalebhaiya,·,Even after 170yrs of,Indian,
Kapil,Kapil,,@kapsology,·,Everyone is talking about,Indian,
Mukul,Mukul,,@Warrior_Mukul,·,Pathetic State of,Indian,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,All is Not Well with,Indian,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,Strength of,Indian,
Anusha vundavalli,Anusha vundavalli,,@Anushavundavali,·,Worst,railway,service
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Tamil Nadu Infra,Tamil Nadu Infra,,@TamilNaduInfra,·,"Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time",Indian,
Anil Bhat,Anil Bhat,,@anilbhatortho,·,#Vandebharat,"journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the",Indian
Mihir Jha,Mihir Jha,,@MihirkJha,·,Indian,,Railways
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,If any of you have any angst against,#IndianRailways,
Judish Raj,Judish Raj,,@JudishRaj,·,"For those born after 1990, let me tell you the biggest achievement post independence, of",Indian,
Munthaseer Yaseen,Munthaseer Yaseen,,@12ARMY,·,How BJP systematically dismantled,Indian,
Swaminathan Padmanabhan,Swaminathan Padmanabhan,,@swaminathankp,·,Indian,Indian,
Roshan Rai,Roshan Rai,,@RoshanKrRaii,·,Update : Condition of,Indian,
san⁷ /rpwp,san⁷,/rpwp,,@sueemonella,·,can some vips or someone who work in,Indian
Arjun,Arjun,,@80and_Counting,·,Indian,,Railways
Dr Gaurav Garg,Dr Gaurav Garg,,@DrGauravGarg4,·,"As a common man, doesn’t the videos of",Indian,
Saurabh • A Railfan,Saurabh • A Railfan,,@trainwalebhaiya,·,Even after 170yrs of,Indian,
Kapil,Kapil,,@kapsology,·,Everyone is talking about,Indian,
Mukul,Mukul,,@Warrior_Mukul,·,Pathetic State of,Indian,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,All is Not Well with,Indian,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,Strength of,Indian,
Anusha vundavalli,Anusha vundavalli,,@Anushavundavali,·,Worst,railway,service
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Tamil Nadu Infra,Tamil Nadu Infra,,@TamilNaduInfra,·,"Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time",Indian,
Anil Bhat,Anil Bhat,,@anilbhatortho,·,#Vandebharat,"journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the",Indian
Mihir Jha,Mihir Jha,,@MihirkJha,·,Indian,,Railways
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,If any of you have any angst against,#IndianRailways,
Judish Raj,Judish Raj,,@JudishRaj,·,"For those born after 1990, let me tell you the biggest achievement post independence, of",Indian,
Munthaseer Yaseen,Munthaseer Yaseen,,@12ARMY,·,How BJP systematically dismantled,Indian,
Swaminathan Padmanabhan,Swaminathan Padmanabhan,,@swaminathankp,·,Indian,Indian,
Roshan Rai,Roshan Rai,,@RoshanKrRaii,·,Update : Condition of,Indian,
san⁷ /rpwp,san⁷,/rpwp,,@sueemonella,·,can some vips or someone who work in,Indian
Arjun,Arjun,,@80and_Counting,·,Indian,,Railways
Dr Gaurav Garg,Dr Gaurav Garg,,@DrGauravGarg4,·,"As a common man, doesn’t the videos of",Indian,
Saurabh • A Railfan,Saurabh • A Railfan,,@trainwalebhaiya,·,Even after 170yrs of,Indian,
Kapil,Kapil,,@kapsology,·,Everyone is talking about,Indian,
Mukul,Mukul,,@Warrior_Mukul,·,Pathetic State of,Indian,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,All is Not Well with,Indian,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,Strength of,Indian,
Anusha vundavalli,Anusha vundavalli,,@Anushavundavali,·,Worst,railway,service
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Tamil Nadu Infra,Tamil Nadu Infra,,@TamilNaduInfra,·,"Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time",Indian,
Anil Bhat,Anil Bhat,,@anilbhatortho,·,#Vandebharat,"journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the",Indian
Mihir Jha,Mihir Jha,,@MihirkJha,·,Indian,,Railways
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,If any of you have any angst against,#IndianRailways,
Judish Raj,Judish Raj,,@JudishRaj,·,"For those born after 1990, let me tell you the biggest achievement post independence, of",Indian,
Munthaseer Yaseen,Munthaseer Yaseen,,@12ARMY,·,How BJP systematically dismantled,Indian,
Swaminathan Padmanabhan,Swaminathan Padmanabhan,,@swaminathankp,·,Indian,Indian,
Roshan Rai,Roshan Rai,,@RoshanKrRaii,·,Update : Condition of,Indian,
san⁷ /rpwp,san⁷,/rpwp,,@sueemonella,·,can some vips or someone who work in,Indian
Arjun,Arjun,,@80and_Counting,·,Indian,,Railways
Dr Gaurav Garg,Dr Gaurav Garg,,@DrGauravGarg4,·,"As a common man, doesn’t the videos of",Indian,
Saurabh • A Railfan,Saurabh • A Railfan,,@trainwalebhaiya,·,Even after 170yrs of,Indian,
Kapil,Kapil,,@kapsology,·,Everyone is talking about,Indian,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,All is Not Well with,Indian,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,All is Not Well with,Indian,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,All is Not Well with,Indian,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,Strength of,Indian,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,Strength of,Indian,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,Strength of,Indian,
Anusha vundavalli,Anusha vundavalli,,@Anushavundavali,·,Worst,railway,service
Anusha vundavalli,Anusha vundavalli,,@Anushavundavali,·,Worst,railway,service
Anusha vundavalli,Anusha vundavalli,,@Anushavundavali,·,Worst,railway,service
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Indian Tech & Infra,Indian Tech & Infra,,@IndianTechGuide,·,,Indian,
Tamil Nadu Infra,Tamil Nadu Infra,,@TamilNaduInfra,·,"Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time",Indian,
Tamil Nadu Infra,Tamil Nadu Infra,,@TamilNaduInfra,·,"Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time",Indian,
Tamil Nadu Infra,Tamil Nadu Infra,,@TamilNaduInfra,·,"Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time",Indian,
Anil Bhat,Anil Bhat,,@anilbhatortho,·,#Vandebharat,"journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the",Indian
Anil Bhat,Anil Bhat,,@anilbhatortho,·,#Vandebharat,"journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the",Indian
Anil Bhat,Anil Bhat,,@anilbhatortho,·,#Vandebharat,"journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the",Indian
Mihir Jha,Mihir Jha,,@MihirkJha,·,Indian,,Railways
Mihir Jha,Mihir Jha,,@MihirkJha,·,Indian,,Railways
Mihir Jha,Mihir Jha,,@MihirkJha,·,Indian,,Railways
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,If any of you have any angst against,#IndianRailways,
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,If any of you have any angst against,#IndianRailways,
Ananth Rupanagudi,Ananth Rupanagudi,,@Ananth_IRAS,·,If any of you have any angst against,#IndianRailways,
Judish Raj,Judish Raj,,@JudishRaj,·,"For those born after 1990, let me tell you the biggest achievement post independence, of",Indian,
Judish Raj,Judish Raj,,@JudishRaj,·,"For those born after 1990, let me tell you the biggest achievement post independence, of",Indian,
Judish Raj,Judish Raj,,@JudishRaj,·,"For those born after 1990, let me tell you the biggest achievement post independence, of",Indian,
Munthaseer Yaseen,Munthaseer Yaseen,,@12ARMY,·,How BJP systematically dismantled,Indian,
Munthaseer Yaseen,Munthaseer Yaseen,,@12ARMY,·,How BJP systematically dismantled,Indian,
Munthaseer Yaseen,Munthaseer Yaseen,,@12ARMY,·,How BJP systematically dismantled,Indian,
Swaminathan Padmanabhan,Swaminathan Padmanabhan,,@swaminathankp,·,Indian,Indian,
Swaminathan Padmanabhan,Swaminathan Padmanabhan,,@swaminathankp,·,Indian,Indian,
Swaminathan Padmanabhan,Swaminathan Padmanabhan,,@swaminathankp,·,Indian,Indian,
Roshan Rai,Roshan Rai,,@RoshanKrRaii,·,Update : Condition of,Indian,
Roshan Rai,Roshan Rai,,@RoshanKrRaii,·,Update : Condition of,Indian,
Roshan Rai,Roshan Rai,,@RoshanKrRaii,·,Update : Condition of,Indian,
san⁷ /rpwp,san⁷,/rpwp,,@sueemonella,·,can some vips or someone who work in,Indian
san⁷ /rpwp,san⁷,/rpwp,,@sueemonella,·,can some vips or someone who work in,Indian
san⁷ /rpwp,san⁷,/rpwp,,@sueemonella,·,can some vips or someone who work in,Indian
Shivam Vahia,Shivam Vahia,,@ShivamVahia,·,"According to my highly placed aviation sources, IndiGo will be carrying 800 pax on the A350.

Standees will be allowed. IndiGo is closely working with",Indian,
Rahul Raj,Rahul Raj,,@x_rahulraj,·,The toilets of,Indian,
Sonam Mahajan,Sonam Mahajan,,@AsYouNotWish,·,I made the historic mistake of travelling with,Indian,
Sonam Mahajan,Sonam Mahajan,,@AsYouNotWish,·,I made the historic mistake of travelling with,Indian,
Maxtern,Maxtern,,@RealMaxtern,·,Indian,,Railway
Abhijit Chokshi | Investors का दोस्त,Abhijit Chokshi | Investors का दोस्त,,@stockifi_Invest,·,Indian,,Railways
Praful Patel,Praful Patel,,@praful_patel,·,Commendable initiative by the Central Government and,Indian,
Zavier,Zavier,,@ZavierIndia,·,Indian,,Railways
Saurabh • A Railfan,Saurabh • A Railfan,,@trainwalebhaiya,·,If,Railway,Minister
Ankit Mayank,Ankit Mayank,,@mr_mayank,·,BIG EXPOSE,BJP caught playing dirty tricks again to stop Muslims from voting,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,,Indian,
Mr Sinha (Modi's family),Mr Sinha (Modi's family),,@MrSinha_,·,"What's your agenda?

-PM Modi : I'll do anything to make India  a 5 trillion economy, 100%",Indian,"population should get electricity-water-food, good road-"
Roads of Mumbai,Roads of Mumbai,,@RoadsOfMumbai,·,If,Indian,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,Indian,,Railway
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,Nitin Gadkari Ji Should Be Made,Railway,"Minister, He Has Transformed"
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,,Indian,
Kapil,Kapil,,@kapsology,·,Requesting,@dhruv_rathee,to make a video on
Rahul Raj,Rahul Raj,,@x_rahulraj,·,The toilets of,Indian,
Sonam Mahajan,Sonam Mahajan,,@AsYouNotWish,·,I made the historic mistake of travelling with,Indian,
Maxtern,Maxtern,,@RealMaxtern,·,Indian,,Railway
Abhijit Chokshi | Investors का दोस्त,Abhijit Chokshi | Investors का दोस्त,,@stockifi_Invest,·,Indian,,Railways
Praful Patel,Praful Patel,,@praful_patel,·,Commendable initiative by the Central Government and,Indian,
Zavier,Zavier,,@ZavierIndia,·,Indian,,Railways
Saurabh • A Railfan,Saurabh • A Railfan,,@trainwalebhaiya,·,If,Railway,Minister
Ankit Mayank,Ankit Mayank,,@mr_mayank,·,BIG EXPOSE,BJP caught playing dirty tricks again to stop Muslims from voting,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,,Indian,
Mr Sinha (Modi's family),Mr Sinha (Modi's family),,@MrSinha_,·,"What's your agenda?

-PM Modi : I'll do anything to make India  a 5 trillion economy, 100%",Indian,"population should get electricity-water-food, good road-"
Roads of Mumbai,Roads of Mumbai,,@RoadsOfMumbai,·,If,Indian,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,Indian,,Railway
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,Nitin Gadkari Ji Should Be Made,Railway,"Minister, He Has Transformed"
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,,Indian,
Shivam Vahia,Shivam Vahia,,@ShivamVahia,·,"According to my highly placed aviation sources, IndiGo will be carrying 800 pax on the A350.

Standees will be allowed. IndiGo is closely working with",Indian,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,,Indian,
Kapil,Kapil,,@kapsology,·,Requesting,@dhruv_rathee,to make a video on
Rahul Raj,Rahul Raj,,@x_rahulraj,·,The toilets of,Indian,
Sonam Mahajan,Sonam Mahajan,,@AsYouNotWish,·,I made the historic mistake of travelling with,Indian,
Maxtern,Maxtern,,@RealMaxtern,·,Indian,,Railway
Abhijit Chokshi | Investors का दोस्त,Abhijit Chokshi | Investors का दोस्त,,@stockifi_Invest,·,Indian,,Railways
Praful Patel,Praful Patel,,@praful_patel,·,Commendable initiative by the Central Government and,Indian,
Zavier,Zavier,,@ZavierIndia,·,Indian,,Railways
Saurabh • A Railfan,Saurabh • A Railfan,,@trainwalebhaiya,·,If,Railway,Minister
Ankit Mayank,Ankit Mayank,,@mr_mayank,·,BIG EXPOSE,BJP caught playing dirty tricks again to stop Muslims from voting,
Ravisutanjani,Ravisutanjani,,@Ravisutanjani,·,,Indian,
Mr Sinha (Modi's family),Mr Sinha (Modi's family),,@MrSinha_,·,"What's your agenda?

-PM Modi : I'll do anything to make India  a 5 trillion economy, 100%",Indian,"population should get electricity-water-food, good road-"
